"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.759468690E0,-6.000939608E-1,-1.052407026E0,-7.715511322E-2
2.777285768E0,-4.852334261E-1,-5.284371376E-1,-1.284065247E-1
2.795112185E0,-6.049419045E-1,-3.757021427E-1,4.157161713E-1
2.812933107E0,-4.110586345E-1,-1.716854572E-1,1.337196350E0
2.830760927E0,-1.073676348E-1,8.278076649E-1,-6.293735504E-1
2.848584718E0,-2.817097902E-1,1.912360191E-1,7.921037674E-1
2.866407839E0,1.526277661E-1,3.141667843E-1,2.216927528E0
2.884232118E0,1.511708498E-1,3.618161678E-1,9.198875427E-1
2.902054201E0,3.442348242E-1,7.983446121E-1,1.229841232E0
2.919878725E0,-4.000852108E-1,7.365410328E-1,1.472316742E0
2.937704774E0,-5.529025793E-1,-4.097867012E-2,4.354400635E-1
2.955527101E0,7.010092139E-1,-9.288222790E-1,2.489559174E0
2.973350465E0,1.135124922E0,-2.454091549E0,5.898576736E0
2.991174562E0,2.083066702E-1,-3.617403984E0,6.180526733E0
3.008997682E0,2.509367466E-1,-2.505623102E0,3.521666527E0
3.026822207E0,7.200568318E-1,-1.487057686E0,1.510340691E0
3.044639833E0,9.464470148E-1,-1.363405466E0,-1.288223267E-1
3.062468996E0,1.598362923E0,-1.253227949E0,-7.111072540E-2
3.080287721E0,2.013205528E0,-1.250587225E0,7.804632187E-1
3.098116335E0,1.903269768E0,-1.034940243E0,6.209630966E-1
3.115940187E0,1.804779530E0,-5.893008709E-1,1.849298477E-1
3.133762941E0,1.532788754E0,-3.877022266E-1,-4.118766785E-1
3.151588503E0,5.809617043E-1,-8.842165470E-1,-1.026430130E0
3.169407350E0,-1.896501482E-1,-1.410623312E0,-1.340047836E0
3.187238954E0,-6.787035465E-1,-1.585941553E0,-1.912456989E0
3.205057924E0,-9.087947607E-1,-1.798673153E0,-2.215420723E0
3.222882143E0,-9.504923820E-1,-1.807976961E0,-2.286187172E0
3.240707216E0,-7.038943768E-1,-1.740124464E0,-2.468140602E0
3.258515321E0,-3.537301719E-1,-1.653699398E0,-2.158598900E0
3.276353761E0,5.347904563E-2,-1.492822170E0,-1.344161034E0
3.294176821E0,2.055293918E-1,-1.407825947E0,-1.114549637E0
3.312000734E0,5.937128663E-1,-8.454000950E-1,-1.713703156E0
3.329825564E0,1.043745518E0,-2.254953384E-1,-1.565065861E0
3.347643068E0,9.241644740E-1,6.074714661E-2,-1.352101326E0
3.365470704E0,6.360030770E-1,2.078633308E-1,-1.197259903E0
3.383292604E0,7.710167170E-1,5.738577843E-1,-6.276884079E-1
3.401119325E0,6.766753197E-1,4.519054890E-1,9.343147278E-1
3.418943239E0,3.617131114E-1,2.727260590E-1,1.787265778E0
3.436766603E0,2.786254883E-1,7.416486740E-3,2.635527611E0
3.454590700E0,6.434299052E-3,-6.649408340E-1,3.373784065E0
3.472414247E0,1.371296644E-1,-9.736602306E-1,3.718255043E0
3.490238345E0,-6.134927273E-1,2.079648972E-1,2.497524261E0
3.508061342E0,-6.306300759E-1,1.289791107E0,-1.768741608E-1
3.525887025E0,9.574753642E-1,1.642528296E0,6.452636719E-1
3.543707033E0,9.960973263E-1,-1.193713188E0,5.725573540E0
3.561533204E0,-8.697698712E-1,-4.039361477E0,8.256952286E0
3.579351442E0,-1.821728349E0,-3.976651669E0,4.043223381E0
3.597180360E0,-1.587234378E0,-2.377300739E0,2.237586975E-1
3.615004152E0,-1.646239877E0,-2.043307066E0,-1.009759903E0
3.632827882E0,-1.473936915E0,-2.268782139E0,-8.611278534E-1
3.650650942E0,-8.027499914E-1,-2.153529167E0,-3.954000473E-1
3.668474977E0,-1.276467294E-1,-2.158543825E0,-6.321620941E-2
3.686294191E0,4.422144592E-1,-2.315813065E0,4.861927032E-2
3.704122804E0,9.350662827E-1,-2.121523142E0,-3.382492065E-2
3.721945986E0,8.883603215E-1,-1.935744762E0,-7.632675171E-1
3.739769655E0,7.294785976E-1,-1.444457293E0,-1.766334534E0
3.757593690E0,7.813176513E-1,-8.140885830E-1,-2.649675846E0
3.775417604E0,4.457482100E-1,-4.509890079E-1,-3.372589111E0
3.793240663E0,1.610550135E-1,-2.720127106E-1,-3.845843315E0
3.811064638E0,8.933299780E-2,-3.459589481E-1,-2.559755802E0
3.828889467E0,-1.422527432E-2,-5.668227673E-1,-1.625676632E0
3.846711550E0,-3.133382797E-1,-7.756297588E-1,-8.959445953E-1
3.864535524E0,-7.914128304E-1,-1.010447979E0,-7.124004364E-1
3.882356874E0,-1.091150403E0,-1.065382004E0,-9.334983826E-1
3.900181887E0,-1.238620281E0,-9.375250340E-1,-6.516399384E-1
3.918008425E0,-1.288702726E0,-7.513942719E-1,-5.288715363E-1
3.935829714E0,-1.147414684E0,-5.198204517E-1,-3.199930191E-1
3.953655214E0,-6.604670286E-1,-3.648526669E-1,6.780719757E-1
3.971466615E0,-1.971767694E-1,-1.212067604E-1,1.696692467E0
3.989297243E0,3.372651339E-2,-1.511991024E-1,2.478876114E0
4.007125124E0,3.619874716E-1,-8.154749870E-2,2.703097343E0
4.024944032E0,6.222558618E-1,1.717772484E-1,2.917621613E0
4.042772890E0,7.069278955E-1,2.491078377E-1,2.627461433E0
4.060596620E0,1.675345600E-1,5.593156815E-1,2.268395424E0
4.078420107E0,5.666860342E-1,5.140905380E-1,1.187052727E0
4.096244020E0,1.695781708E0,-3.037698269E-1,2.455218315E0
4.114067567E0,2.153010130E0,-2.261308432E0,5.207482338E0
4.131890383E0,1.261170149E0,-4.219692230E0,6.611795425E0
4.149715944E0,6.784980297E-1,-3.876840115E0,3.897121429E0
4.167538698E0,1.018040419E0,-2.328320026E0,4.590911865E-1
4.185362611E0,1.517769098E0,-1.434989691E0,-1.225479126E0
4.203186403E0,1.857837677E0,-1.465078831E0,-1.097683907E0
4.221009523E0,1.856544256E0,-1.551075459E0,-2.805614471E-1
4.238832644E0,1.712860227E0,-1.276011705E0,-1.297645569E-1
4.256658327E0,1.187513351E0,-1.183206797E0,-2.223052979E-1
4.274481447E0,3.850341439E-1,-1.362569571E0,-8.147525787E-1
4.292299623E0,-1.180033684E-1,-1.559658289E0,-1.164945602E0
4.310128419E0,-4.882622063E-1,-1.818278551E0,-1.218858719E0
4.327952333E0,-4.148876071E-1,-1.805680513E0,-1.293946743E0
4.345771181E0,-5.763274431E-2,-1.501484394E0,-1.390655041E0
4.363599306E0,4.642021656E-2,-1.411788225E0,-1.485218525E0
4.381422975E0,1.360961199E-1,-1.410295010E0,-1.766369343E0
4.399247072E0,2.844408453E-1,-1.359019756E0,-1.885221481E0
4.417070680E0,3.905876875E-1,-1.197421551E0,-2.328989983E0
4.434892824E0,3.122794926E-1,-1.106420040E0,-2.680184364E0
4.452719362E0,3.952038288E-1,-9.435503483E-1,-2.564245701E0
4.470541750E0,5.332263112E-1,-7.418086529E-1,-2.207482815E0
4.488365602E0,7.600241899E-1,-4.654643536E-1,-1.162906647E0
4.506188905E0,9.032642841E-1,-1.836063862E-1,7.073116302E-2
4.524012819E0,9.284636974E-1,3.036637306E-1,6.070919037E-1
4.541835268E0,7.365027070E-1,7.290444374E-1,3.655891418E-1
4.559657594E0,3.794963360E-1,7.286281586E-1,7.123756409E-1
4.577478884E0,1.052715704E-1,2.138385773E-1,1.044100761E0
4.595302919E0,6.255879998E-2,-5.751831532E-1,2.399224281E0
4.613131288E0,4.942259938E-2,-1.169095516E0,4.001667023E0
4.630955018E0,-1.313315481E-1,-8.997366428E-1,4.461768150E0
4.648778200E0,-6.627936363E-1,7.462787628E-1,3.123604774E0
4.666600832E0,-5.586341023E-1,2.000624180E0,3.946237564E-1
4.684427126E0,-2.407716513E-1,2.227686882E0,4.453973770E-1
4.702249696E0,-6.761866063E-2,-2.355182171E-1,2.469733238E0
4.720073183E0,-2.525195777E-1,-2.576287031E0,5.150843620E0
4.737897096E0,-1.501718044E0,-4.104466438E0,4.397736549E0
4.755720949E0,-2.409351349E0,-3.482543945E0,4.741573334E-1
4.773544862E0,-2.294996977E0,-2.258344650E0,-1.777361870E0
4.791373476E0,-1.973474860E0,-1.428349018E0,-2.295156002E0
4.809191774E0,-1.315137506E0,-1.407342672E0,-9.859552383E-1
4.827015810E0,-4.352519512E-1,-1.716872215E0,3.727111816E-1
4.844838442E0,1.370706260E-1,-2.200154305E0,1.357059479E0
4.862663576E0,3.847496510E-1,-2.409811497E0,1.375209808E0
4.880481935E0,4.748414159E-1,-1.855390549E0,-1.310100555E-1
4.898304324E0,4.451557696E-1,-1.131842852E0,-1.922699928E0
4.916129884E0,2.383768559E-3,-8.938617706E-1,-3.437480450E0
4.933954897E0,-3.996908665E-1,-7.871115208E-1,-4.028354645E0
4.951783938E0,-4.688030481E-1,-7.532815933E-1,-3.595953941E0
4.969601259E0,-8.393509388E-1,-1.127795935E0,-2.562170029E0
4.987429140E0,-9.194825888E-1,-1.157614231E0,-1.615978718E0
5.005252077E0,-9.060139656E-1,-9.843614101E-1,-9.502840042E-1
5.023076356E0,-7.441620827E-1,-5.855321884E-1,-3.220834732E-1
5.040899660E0,-9.186085463E-1,-4.108798504E-1,7.823371887E-2
5.058723512E0,-1.075154543E0,-1.033859253E-1,2.862005234E-1
5.076546999E0,-1.050387621E0,2.742662430E-1,4.421873093E-1
5.094371034E0,-9.176796675E-1,6.304233074E-1,6.485404968E-1
5.112189882E0,-6.958189607E-1,6.933963299E-1,1.401626587E0
5.130017336E0,-5.036051869E-1,6.149072647E-1,1.899044991E0
5.147841737E0,-3.615458608E-1,5.996813774E-1,2.073725700E0
5.165666872E0,-1.376070082E-1,3.990509510E-1,2.327443123E0
5.183489442E0,1.376186609E-1,5.212044716E-2,2.511255264E0
5.201308534E0,2.949093580E-1,-3.933973312E-1,2.862264633E0
5.219136110E0,-2.035801411E-1,-6.298842430E-1,2.969022751E0
5.236960634E0,-8.317698240E-1,-1.677746773E-1,1.486547470E0
5.254784303E0,-1.788425744E-1,2.761960030E-1,4.493713379E-2
5.272608156E0,1.190788150E0,1.315858364E-1,1.423184395E0
5.290431093E0,1.229378462E0,-1.948976994E0,3.556237221E0
5.308255006E0,5.851092339E-1,-3.799025059E0,5.343591690E0
5.326078859E0,1.070809364E-2,-3.884473324E0,3.398336411E0
5.343897890E0,3.466132879E-1,-2.329261303E0,3.735208511E-1
5.361725954E0,7.595137954E-1,-1.496846199E0,-7.836046219E-1
5.379545045E0,1.153366804E0,-9.143638611E-1,-1.072030067E0
5.397373537E0,1.207215548E0,-6.713373661E-1,-5.963068008E-1
5.415196962E0,9.489372373E-1,-6.009030342E-1,-3.382081985E-1
5.433019717E0,3.356104493E-1,-8.711559772E-1,-3.833866119E-1
5.450844728E0,-3.938122988E-1,-1.100616217E0,-1.157895088E0
5.468669191E0,-9.615617394E-1,-1.259525537E0,-1.832656860E0
5.486492616E0,-1.219767451E0,-1.321020603E0,-2.168915749E0
5.504310732E0,-1.140330911E0,-1.286419153E0,-2.313049793E0
5.522139345E0,-6.646253467E-1,-9.714646339E-1,-1.852448940E0
5.539962831E0,-3.775737882E-1,-9.062333107E-1,-1.595597267E0
5.557786807E0,-1.180964112E-1,-9.047400951E-1,-1.688289165E0
5.575605532E0,1.955811679E-1,-7.358591557E-1,-1.684118271E0
